model,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,recovery_time,hit_rate,period_type,period,check,removed
quarter_2024Q1,2024-01-08,2024-03-27,12,0.1925467535791694,1.1504605989558478,0.2219828417641229,3.582961199999003,8.602257769365153,32.955400261528965,-0.03490962300035716,,0.6666666666666666,quarter,2024Q1,,
quarter_2024Q2,2024-04-04,2024-06-24,12,-0.011794154678233748,-0.05028024610829396,0.2712861984321613,-0.05164453647903422,-0.07576569577130726,-0.613654037499979,-0.08193581893983004,,0.5833333333333334,quarter,2024Q2,,
quarter_2024Q3,2024-07-01,2024-09-25,13,-0.03354538992832745,-0.12798833059900694,0.29125497991174853,-0.32778336955555576,-0.8047145258606396,-0.8418914851693804,-0.1520247357927096,,0.3076923076923077,quarter,2024Q3,,
quarter_2024Q4,2024-10-02,2024-12-27,13,0.2686577873138625,1.5989476135274456,0.19374943804952266,5.068852028228906,20.001193783595248,96.48952886527628,-0.01657120344902896,1.0,0.6923076923076923,quarter,2024Q4,,
quarter_2025Q1,2025-01-06,2025-03-27,12,-0.12111185082428688,-0.429558234042702,0.24507271437267503,-2.1538748387799553,-3.8547755319999566,-3.382341315650775,-0.12700026223109107,,0.5,quarter,2025Q1,,
quarter_2025Q2,2025-04-03,2025-06-24,12,0.06861454259078026,0.3345050830622054,0.18146903970330602,1.6847596314272986,3.6984586632710545,12.85337181151556,-0.026024695151393384,2.0,0.5,quarter,2025Q2,,
quarter_2025Q3,2025-07-01,2025-09-25,13,0.1683835033758163,0.8675405349432874,0.2100024919593483,3.0966266558385294,6.296198593985172,19.053298636572524,-0.04553230133484898,2.0,0.6923076923076923,quarter,2025Q3,,
quarter_2025Q4,2025-10-02,2025-12-29,13,-0.006123367875605301,-0.02435173436497451,0.16797579062173354,-0.06248593629180124,-0.09523797232602897,-0.266654679490444,-0.0913231090169081,,0.6153846153846154,quarter,2025Q4,,
quarter_2026Q1,2026-01-06,2026-03-26,12,0.04199560224790955,0.1958720092142756,0.28321480717159264,0.7734694097726159,1.4665090762951507,1.5324896814123754,-0.1278129383773441,,0.5,quarter,2026Q1,,
quarter_2026Q2,2026-04-02,2026-05-15,7,0.4165363503200603,12.404906740619301,0.36178767727729305,7.52928481650831,,313.9149246321261,-0.03951677912465135,,0.8571428571428571,quarter,2026Q2,,
candidate_without_best_year,2022-01-03,2025-12-29,201,1.3260140032305805,0.23585586789511792,0.24818295015327932,1.007836819103875,1.7133836902175523,1.3125728782264292,-0.17968973137233368,14.0,0.572139303482587,,,remove_best_year,2026
candidate_without_best_10_trades,2022-01-03,2026-05-15,220,0.9228276388629331,0.1617243314068968,0.22802956919786857,0.7953421511089247,1.2330253928319466,0.6212156128857246,-0.2603352653286367,23.0,0.5636363636363636,,,remove_best_10_trades,"TSLA,NVDA,AMD,VIST,INTC,YPF,YPF,AMD,INTC,VIST"
candidate_without_best_ticker,2022-01-03,2026-05-15,220,1.7739635782049739,0.26356060455838004,0.2415498082026351,1.1235141049853692,1.9329661716308848,1.5482886322309357,-0.17022704880201467,14.0,0.5636363636363636,,,remove_best_ticker,NVDA
candidate_high_vol_only,2022-01-25,2026-05-15,55,0.3859896223015633,0.0788436712245364,0.33905031597641017,1.0800127132163484,2.7352681295515984,0.2397583578802605,-0.32884639318355813,,0.4727272727272727,,,high_volatility_periods,low_vol_periods
candidate_bear_only,2022-02-01,2026-04-10,64,0.3878323325652804,0.08143816875515197,0.2373604840637695,1.2465747783979533,2.4054496655110973,0.5623362903776401,-0.14482111531600017,10.0,0.53125,,,bear_market_periods,non_bear_periods
candidate_sideways_only,2022-03-30,2026-04-24,76,0.5283853114064851,0.10989870533013057,0.22718071562857217,1.3971022861075528,3.1162419273718833,0.8930805578847351,-0.12305575836341809,4.0,0.6052631578947368,,,sideways_periods,directional_periods
